,y
1061,0
1062,0
1063,0
1064,1
1065,1
1066,0
1067,0
1068,0
1069,1
1070,1
1071,1
1072,0
1073,0
1074,0
1075,1
1076,1
1077,1
1078,1
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,1
1086,0
1087,0
1088,0
1089,1
1090,0
1091,1
1092,0
1093,1
1094,1
1095,1
1096,0
1097,0
1098,1
1099,0
1100,1
1101,1
1102,1
1103,0
1104,1
1105,1
1106,0
1107,0
1108,0
1109,1
1110,1
1111,0
1112,1
1113,0
1114,0
1115,1
1116,0
1117,0
1118,1
1119,1
1120,1
1121,0
1122,0
1123,1
1124,0
1125,1
1126,0
1127,0
1128,0
1129,1
1130,0
1131,0
1132,1
1133,0
1134,0
1135,0
1136,0
1137,0
1138,1
1139,1
1140,0
1141,1
1142,0
1143,1
1144,1
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,1
1153,0
1154,0
1155,1
1156,0
1157,0
1158,1
1159,1
1160,1
1161,1
1162,0
1163,0
1164,1
1165,1
1166,0
1167,1
1168,1
1169,0
1170,0
1171,1
1172,1
1173,0
1174,0
1175,1
1176,1
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,1
1184,1
1185,1
1186,0
1187,0
1188,0
1189,0
1190,0
1191,1
1192,1
1193,0
1194,1
1195,1
1196,0
1197,0
1198,1
1199,0
1200,0
1201,0
1202,0
1203,1
1204,0
1205,0
1206,0
1207,1
1208,0
1209,1
1210,0
1211,1
1212,1
1213,1
1214,0
1215,0
1216,0
1217,0
1218,0
1219,1
1220,0
1221,0
1222,0
1223,1
1224,0
1225,0
1226,1
1227,0
1228,0
1229,0
1230,0
1231,1
1232,0
1233,0
1234,1
1235,0
1236,1
1237,1
1238,1
1239,1
1240,0
1241,1
1242,1
1243,0
1244,1
1245,0
1246,1
1247,1
1248,1
1249,0
1250,1
1251,1
1252,1
1253,0
1254,1
1255,0
1256,0
1257,1
1258,1
1259,0
1260,0
1261,0
1262,0
1263,1
1264,0
1265,0
1266,0
1267,0
1268,1
1269,1
1270,0
1271,1
1272,1
1273,0
1274,1
1275,1
1276,1
1277,0
1278,1
1279,0
1280,1
1281,0
1282,1
1283,0
1284,0
1285,0
1286,0
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,0
1294,0
1295,0
1296,1
1297,1
1298,0
1299,1
1300,1
1301,1
1302,0
1303,0
1304,1
1305,0
1306,0
1307,1
1308,1
1309,0
1310,0
1311,1
1312,0
1313,1
1314,0
1315,0
1316,1
1317,0
1318,0
1319,1
1320,0
1321,0
1322,0
1323,1
1324,0
1325,1
1326,0
1327,1
1328,0
1329,1
1330,1
1331,0
1332,1
1333,0
1334,0
1335,0
1336,1
1337,1
1338,1
1339,0
1340,0
1341,0
1342,0
1343,1
1344,1
1345,1
1346,0
1347,0
1348,0
1349,1
1350,0
1351,1
1352,0
1353,0
1354,1
1355,1
1356,1
1357,1
1358,0
1359,1
1360,1
1361,1
1362,0
1363,1
1364,0
1365,1
1366,1
1367,1
1368,0
1369,1
1370,0
1371,0
1372,1
1373,0
1374,1
1375,0
1376,0
1377,1
1378,1
1379,1
1380,0
1381,0
1382,1
1383,0
1384,0
1385,1
1386,0
1387,0
1388,1
1389,1
1390,0
1391,1
1392,1
1393,0
1394,1
1395,1
1396,1
1397,0
1398,1
1399,1
1400,0
1401,1
1402,0
1403,0
1404,1
1405,0
1406,0
1407,1
1408,0
1409,0
1410,0
1411,1
1412,0
1413,0
1414,0
1415,0
1416,0
1417,1
1418,0
1419,1
1420,0
1421,0
1422,1
1423,1
1424,1
1425,0
1426,0
1427,1
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,1
1435,0
1436,0
1437,1
1438,1
1439,0
1440,1
1441,0
1442,0
1443,0
1444,0
1445,1
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,1
1454,0
1455,1
1456,1
1457,0
1458,1
1459,0
1460,0
1461,0
1462,0
1463,0
1464,1
1465,1
1466,0
1467,1
1468,1
1469,0
1470,0
1471,0
1472,1
1473,0
1474,0
1475,1
1476,1
1477,0
1478,1
1479,0
1480,1
1481,1
1482,1
1483,0
1484,0
1485,0
1486,0
1487,1
1488,1
1489,0
1490,0
1491,0
1492,0
1493,0
1494,1
1495,1
1496,1
1497,0
1498,1
1499,1
1500,0
1501,0
1502,1
1503,0
1504,0
1505,1
1506,0
1507,1
1508,0
1509,1
1510,0
1511,0
1512,0
1513,0
1514,1
1515,1
1516,0
1517,0
1518,1
1519,0
1520,1
1521,1
1522,1
1523,1
1524,1
1525,1
1526,0
1527,0
1528,1
1529,0
1530,0
1531,0
1532,0
1533,0
1534,1
1535,1
1536,0
1537,0
1538,0
1539,0
1540,0
1541,1
1542,0
1543,0
1544,0
1545,1
1546,0
1547,0
1548,1
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,1
1556,1
1557,0
1558,1
1559,0
1560,1
1561,0
1562,1
1563,1
1564,1
1565,0
1566,0
1567,1
1568,0
1569,1
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,1
1580,0
1581,1
1582,1
1583,0
1584,0
1585,0
1586,1
1587,1
1588,1
1589,1
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,1
1601,0
1602,1
1603,0
1604,1
1605,0
1606,0
1607,1
1608,0
1609,0
1610,1
1611,0
1612,0
1613,1
1614,0
1615,0
1616,1
1617,1
1618,0
1619,1
1620,0
1621,1
1622,1
1623,0
1624,1
1625,0
1626,1
1627,1
1628,1
1629,1
1630,0
1631,1
1632,0
1633,1
1634,0
1635,0
1636,0
1637,0
1638,0
1639,1
1640,0
1641,0
1642,0
1643,0
1644,1
1645,0
1646,0
1647,1
1648,0
1649,0
1650,1
1651,1
1652,0
1653,0
1654,0
1655,1
1656,1
1657,1
1658,0
1659,1
1660,0
1661,0
1662,0
1663,1
1664,1
1665,0
1666,0
1667,1
1668,0
1669,1
1670,0
1671,1
1672,1
1673,0
1674,1
1675,0
1676,1
1677,1
1678,1
1679,0
1680,0
1681,0
1682,1
1683,1
1684,0
1685,0
1686,1
1687,0
1688,1
1689,1
1690,1
1691,1
1692,0
1693,0
1694,1
1695,1
1696,0
1697,0
1698,1
1699,0
1700,1
1701,1
1702,1
1703,1
1704,0
1705,0
1706,0
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,0
1714,0
1715,1
1716,1
1717,1
1718,1
1719,0
1720,1
1721,1
1722,0
1723,0
1724,1
1725,1
1726,0
1727,1
1728,0
1729,1
1730,1
1731,0
1732,0
1733,1
1734,0
1735,0
1736,1
1737,1
1738,1
1739,0
1740,0
1741,0
1742,1
1743,1
1744,0
1745,0
1746,1
1747,0
1748,0
1749,1
1750,1
1751,1
1752,0
1753,0
1754,0
1755,0
1756,1
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,1
1764,0
1765,0
1766,1
1767,0
1768,1
1769,0
1770,0
1771,1
1772,1
1773,0
1774,0
1775,1
1776,0
1777,0
1778,1
1779,0
1780,0
1781,0
1782,1
1783,1
1784,0
1785,1
1786,0
1787,1
1788,0
1789,1
1790,0
1791,1
1792,1
1793,1
1794,0
1795,1
1796,0
1797,1
1798,1
1799,0
1800,1
1801,0
1802,1
1803,0
1804,0
1805,0
1806,0
1807,0
1808,1
1809,0
1810,1
1811,0
1812,0
1813,0
1814,0
1815,0
1816,1
1817,1
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,1
1825,0
1826,0
1827,1
1828,1
1829,0
1830,0
1831,1
1832,1
1833,0
1834,0
1835,0
1836,1
1837,0
1838,1
1839,1
1840,1
1841,0
1842,1
1843,1
1844,1
1845,1
1846,1
1847,0
1848,1
1849,1
1850,1
1851,1
1852,0
1853,0
1854,1
1855,1
1856,0
1857,1
1858,1
1859,1
1860,0
1861,0
1862,0
1863,1
1864,0
1865,0
1866,0
1867,1
1868,0
1869,1
1870,0
1871,1
1872,1
1873,1
1874,1
1875,0
1876,1
1877,1
1878,1
1879,0
1880,1
1881,1
1882,1
1883,0
1884,1
1885,0
1886,0
1887,1
1888,0
1889,0
1890,0
1891,0
1892,1
1893,0
1894,0
1895,0
1896,0
1897,1
1898,1
1899,1
1900,0
1901,0
1902,0
1903,0
1904,1
1905,1
1906,1
1907,1
1908,0
1909,0
1910,1
1911,0
1912,1
1913,0
1914,0
1915,1
1916,0
1917,0
1918,1
1919,0
1920,1
1921,1
1922,1
1923,0
1924,1
1925,0
1926,0
1927,1
1928,1
1929,1
1930,0
1931,1
1932,1
1933,1
1934,0
1935,1
1936,1
1937,0
1938,0
1939,1
1940,0
1941,0
1942,1
1943,0
1944,0
1945,1
1946,1
1947,0
1948,1
1949,0
1950,1
1951,0
1952,0
1953,0
1954,0
1955,0
1956,1
1957,0
1958,0
1959,1
1960,0
1961,0
1962,0
1963,1
1964,1
1965,0
1966,1
1967,1
1968,0
1969,0
1970,1
1971,0
1972,1
1973,1
1974,0
1975,1
1976,1
1977,0
1978,1
1979,1
1980,0
1981,0
1982,0
1983,1
1984,0
1985,1
1986,1
1987,1
1988,1
1989,0
1990,1
1991,0
1992,0
1993,0
1994,0
1995,1
1996,1
1997,0
1998,1
1999,1
2000,0
2001,0
2002,1
2003,1
2004,1
2005,0
2006,0
2007,1
2008,0
2009,0
2010,0
2011,1
2012,0
2013,1
2014,0
2015,0
2016,0
2017,0
2018,1
2019,0
2020,1
2021,1
2022,0
2023,1
2024,0
2025,1
2026,0
2027,1
2028,0
2029,1
2030,0
2031,1
2032,0
2033,1
2034,1
2035,1
2036,1
2037,0
2038,1
2039,1
2040,1
2041,0
2042,0
2043,1
2044,1
2045,0
2046,0
2047,0
2048,1
2049,1
2050,0
2051,1
2052,0
2053,1
2054,1
2055,1
2056,0
2057,1
2058,1
2059,0
2060,1
2061,0
2062,1
2063,1
2064,0
2065,0
2066,0
2067,0
2068,0
2069,1
2070,0
2071,1
2072,1
2073,0
2074,0
2075,0
2076,0
2077,1
2078,0
2079,1
2080,0
2081,1
2082,1
2083,1
2084,1
2085,0
2086,0
2087,0
2088,0
2089,1
2090,0
2091,0
2092,1
2093,0
2094,1
2095,0
2096,1
2097,0
2098,0
2099,1
2100,0
2101,0
2102,0
2103,1
2104,0
2105,0
2106,1
2107,0
2108,0
2109,1
2110,0
2111,1
2112,0
2113,0
2114,1
2115,1
2116,0
2117,1
2118,0
2119,0
2120,1
2121,0
2122,1
2123,0
2124,0
2125,1
2126,1
2127,1
2128,0
2129,0
2130,1
2131,0
2132,1
2133,1
2134,0
2135,1
2136,0
2137,0
2138,1
2139,0
2140,0
2141,1
2142,1
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,1
2151,1
2152,0
2153,1
2154,0
2155,1
2156,1
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,1
2165,0
2166,1
2167,0
2168,0
2169,0
2170,1
2171,0
2172,0
2173,0
2174,1
2175,0
2176,1
2177,0
2178,1
2179,1
2180,1
2181,1
2182,0
2183,1
2184,0
2185,0
2186,0
2187,1
2188,1
2189,0
2190,0
2191,0
2192,0
2193,0
2194,1
2195,1
2196,0
2197,0
2198,0
2199,0
2200,1
2201,0
2202,1
2203,0
2204,1
2205,0
2206,0
2207,0
2208,1
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,1
2217,0
2218,0
2219,0
2220,1
2221,1
2222,1
2223,1
2224,0
2225,1
2226,1
2227,1
2228,1
2229,1
2230,0
2231,0
2232,1
2233,1
2234,0
2235,0
2236,0
2237,1
2238,0
2239,0
2240,0
2241,1
2242,0
2243,1
2244,1
2245,0
2246,0
2247,0
2248,0
2249,1
2250,1
2251,1
2252,0
2253,0
2254,1
2255,0
2256,1
2257,1
2258,1
2259,1
2260,0
2261,1
2262,1
2263,0
2264,0
2265,0
2266,1
2267,1
2268,1
2269,0
2270,1
2271,0
2272,0
2273,0
2274,1
2275,0
2276,1
2277,1
2278,1
2279,0
2280,1
2281,0
2282,0
2283,0
2284,1
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,1
2292,0
2293,0
2294,1
2295,1
2296,0
2297,1
2298,0
2299,0
2300,1
2301,1
2302,0
2303,0
2304,1
2305,0
2306,1
2307,0
2308,1
2309,1
2310,0
2311,0
2312,1
2313,1
2314,1
2315,0
2316,1
2317,1
2318,1
2319,0
2320,1
2321,0
2322,0
2323,1
2324,0
2325,1
2326,1
2327,0
2328,0
2329,1
2330,0
2331,0
2332,0
2333,0
2334,0
2335,0
2336,1
2337,0
2338,1
2339,0
2340,0
2341,0
2342,0
2343,0
2344,1
2345,1
2346,0
2347,0
2348,1
2349,1
2350,0
2351,1
2352,0
2353,0
2354,1
2355,1
2356,1
2357,0
2358,0
2359,0
2360,0
2361,0
2362,0
2363,0
2364,0
2365,1
2366,1
2367,0
2368,0
2369,1
2370,0
2371,0
2372,1
2373,1
2374,0
2375,1
2376,0
2377,0
2378,0
2379,1
2380,0
2381,1
2382,1
2383,0
2384,0
2385,1
2386,0
2387,1
2388,1
2389,0
2390,0
2391,0
2392,1
2393,1
2394,0
2395,1
2396,1
2397,1
2398,0
2399,1
2400,0
2401,0
2402,0
2403,0
2404,0
2405,1
2406,0
2407,0
2408,1
2409,0
2410,0
2411,0
2412,0
2413,0
2414,1
2415,1
2416,1
2417,0
2418,1
2419,1
2420,1
2421,0
2422,1
2423,0
2424,1
2425,1
2426,0
2427,0
2428,0
2429,0
2430,0
2431,1
2432,1
2433,1
2434,0
2435,1
2436,1
2437,0
2438,1
2439,0
2440,0
2441,0
2442,0
2443,1
2444,1
2445,0
2446,0
2447,1
2448,1
2449,1
2450,1
2451,1
2452,1
2453,1
2454,0
2455,0
2456,1
2457,1
2458,0
2459,0
2460,1
2461,1
2462,1
2463,0
2464,0
2465,1
2466,0
2467,1
2468,1
2469,0
2470,1
2471,0
2472,0
2473,1
2474,0
2475,1
2476,1
2477,0
2478,1
2479,1
2480,0
2481,1
2482,1
2483,0
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
2491,0
2492,0
2493,1
2494,1
2495,1
2496,0
2497,1
2498,1
2499,0
2500,0
2501,1
2502,0
2503,0
2504,0
2505,1
2506,0
2507,0
2508,1
2509,0
2510,1
2511,1
2512,0
2513,1
2514,0
2515,1
2516,0
2517,0
2518,0
2519,1
2520,1
2521,0
2522,0
2523,0
2524,1
2525,0
2526,1
2527,0
2528,0
2529,0
2530,0
2531,0
2532,0
2533,1
2534,1
2535,1
2536,1
2537,1
2538,1
2539,0
2540,0
2541,0
2542,0
2543,1
2544,0
2545,1
2546,0
2547,1
2548,1
2549,1
2550,1
2551,0
2552,0
2553,0
2554,0
2555,1
2556,1
2557,1
2558,1
2559,1
2560,1
2561,1
2562,0
2563,1
2564,0
2565,0
2566,1
2567,1
2568,0
2569,0
2570,1
2571,0
2572,1
2573,1
2574,0
2575,1
2576,1
2577,1
2578,1
2579,1
2580,0
2581,0
2582,0
2583,1
2584,0
2585,1
2586,1
2587,1
2588,0
2589,0
2590,0
2591,1
2592,0
2593,1
2594,0
2595,1
2596,0
2597,0
2598,1
2599,0
2600,0
2601,1
2602,0
2603,0
2604,0
2605,0
2606,1
2607,1
2608,0
2609,0
2610,1
2611,1
2612,0
2613,0
2614,0
2615,1
2616,0
2617,0
2618,0
2619,0
2620,0
2621,1
2622,0
2623,0
2624,0
2625,1
2626,1
2627,1
2628,1
2629,0
2630,0
2631,0
2632,1
2633,0
2634,1
2635,0
2636,0
2637,0
2638,1
2639,0
2640,1
2641,0
2642,1
2643,0
2644,1
2645,1
2646,1
2647,1
2648,1
2649,0
2650,0
2651,0
2652,0
2653,0
2654,1
2655,0
2656,1
2657,1
2658,0
2659,0
2660,1
2661,1
2662,1
2663,0
2664,1
2665,1
2666,0
2667,1
2668,0
2669,1
2670,0
2671,1
2672,0
2673,0
2674,0
2675,0
2676,1
2677,1
2678,0
2679,1
2680,0
2681,0
2682,0
2683,0
2684,1
2685,0
2686,0
2687,1
2688,1
2689,0
2690,0
2691,1
2692,0
2693,1
2694,0
2695,1
2696,1
2697,0
2698,0
2699,1
2700,1
2701,1
2702,1
2703,0
2704,1
2705,0
2706,1
2707,1
2708,1
2709,1
2710,0
2711,1
2712,0
2713,1
2714,0
2715,1
2716,0
2717,0
2718,1
2719,1
2720,0
2721,0
2722,0
2723,1
2724,0
2725,0
2726,1
2727,0
2728,1
2729,1
2730,1
2731,1
2732,1
2733,1
2734,0
2735,1
2736,0
2737,0
2738,0
2739,0
2740,0
2741,1
2742,1
2743,0
2744,0
2745,0
2746,0
2747,0
2748,1
2749,0
2750,0
2751,0
2752,1
2753,1
2754,1
2755,1
2756,1
2757,0
2758,0
2759,0
2760,0
2761,1
2762,0
2763,0
2764,1
2765,1
2766,0
2767,0
2768,0
2769,1
2770,0
2771,0
2772,0
2773,1
2774,0
2775,1
2776,1
2777,1
2778,1
2779,0
2780,1
2781,0
2782,1
2783,0
2784,0
2785,0
2786,1
2787,0
2788,1
2789,1
2790,0
2791,1
2792,1
2793,0
2794,0
2795,1
2796,1
2797,1
2798,0
2799,0
2800,0
2801,0
2802,0
2803,1
2804,1
2805,1
2806,1
2807,0
2808,0
2809,0
2810,1
2811,0
2812,0
2813,0
2814,0
2815,0
2816,1
2817,1
2818,1
2819,0
2820,1
2821,0
2822,0
2823,1
2824,0
2825,1
2826,1
2827,0
2828,0
2829,0
2830,1
2831,0
2832,0
2833,0
2834,1
2835,1
2836,1
2837,0
2838,0
2839,1
2840,1
2841,1
2842,1
2843,1
2844,1
2845,0
2846,0
2847,0
2848,0
2849,0
2850,0
2851,0
2852,0
2853,1
2854,0
2855,0
2856,1
2857,0
2858,1
2859,0
2860,1
2861,1
2862,1
2863,0
2864,0
2865,1
2866,0
2867,0
2868,1
2869,0
2870,1
2871,1
2872,0
2873,0
2874,0
2875,1
2876,1
2877,1
2878,1
2879,0
2880,0
2881,0
2882,1
2883,0
2884,0
2885,0
2886,1
2887,1
2888,0
2889,1
2890,0
2891,0
2892,1
2893,0
2894,0
2895,0
2896,0
2897,1
2898,0
2899,1
2900,1
2901,0
2902,0
2903,1
2904,0
2905,0
2906,1
2907,1
2908,0
2909,1
2910,1
2911,0
2912,0
2913,1
2914,0
2915,1
2916,1
2917,1
2918,1
2919,1
2920,1
2921,0
2922,1
2923,0
2924,1
2925,0
2926,0
2927,0
2928,1
2929,1
2930,0
2931,1
2932,0
2933,0
2934,1
2935,1
2936,1
2937,1
2938,0
2939,1
2940,0
2941,0
2942,1
2943,1
2944,1
2945,1
2946,0
2947,1
2948,0
2949,1
2950,1
2951,1
2952,1
2953,0
2954,1
2955,1
2956,1
2957,0
2958,0
2959,0
2960,1
2961,0
2962,0
2963,0
2964,1
2965,0
2966,0
2967,0
2968,1
2969,1
2970,0
2971,1
2972,1
2973,1
2974,1
2975,1
2976,0
2977,1
2978,0
2979,1
2980,0
2981,0
2982,1
2983,1
2984,0
2985,0
2986,1
2987,0
2988,1
2989,1
2990,0
2991,0
2992,1
2993,0
2994,1
2995,1
2996,0
2997,1
